Designator,Mid X,Mid Y,Rotation,Layer
C1,148.75,-100.25,0.0,top
D1,153.824181,-101.333723,90.0,bottom
D2,153.824181,-110.963723,90.0,bottom
D3,121.728372,-101.333723,90.0,bottom
D4,121.728372,-110.963723,90.0,bottom
J1,149.25,-88.0,270.0,top
R1,153.5,-85.5,270.0,top
R2,153.5,-90.4625,90.0,top
RV1,137.776276,-78.95,90.0,bottom
SW1,147.301276,-128.538723,180.0,bottom
SW2,128.251276,-128.538723,180.0,bottom
